,HBA,HBD,HBA+HBD,NumRings,RTB,NumAmideBonds,Globularity,PBF,TPSA,logP,MR,MW,Csp3,fmf,QED,HAC,NumRingsFused,unique_HBAD,max_ring_size,n_chiral_centers,fcsp3_bm,formal_charge,abs_charge
829,3,0,3,2,2,0,0.6850452374032825,0.6677617740418351,67.22,2.8184000000000005,45.49500000000001,213.14300000000003,0.25,0.6,0.4302532089080271,15,1,3,6,0,0.14285714285714285,0,0
830,3,1,4,2,5,0,0.5757341384095169,0.9766316047436474,70.02000000000001,1.8555,60.84470000000004,218.2600000000001,0.45454545454545453,0.75,0.46520986492758437,16,2,3,6,0,0.4,0,0
831,1,0,1,1,2,0,0.7192342498500333,0.8302577221528799,48.760000000000005,3.2894000000000005,44.26000000000002,185.58900000000003,0.14285714285714285,0.5,0.38575494782390196,12,1,1,6,0,0.0,0,0
832,1,0,1,1,3,0,0.6510981785729362,0.7830652751726799,48.760000000000005,2.0952,31.33199999999999,111.14799999999997,1.0,0.375,0.2824330180111593,8,1,1,3,1,1.0,0,0
833,3,0,3,0,4,0,0.5575641027327592,1.0433074665761672,75.06,2.4170000000000007,49.070000000000036,185.22700000000012,0.875,0.0,0.28649647160237485,13,0,3,0,0,0.0,0,0
834,2,0,2,1,3,1,0.6252279515484089,0.8538111246043559,69.07,0.775,39.75700000000001,154.1730000000001,0.8333333333333334,0.5454545454545454,0.3288323519025669,11,1,2,5,1,0.75,0,0
835,3,0,3,0,4,0,0.5587187956413716,0.9632958172848634,75.06,2.4170000000000007,49.070000000000036,185.22700000000012,0.875,0.0,0.2928112865735477,13,0,3,0,1,0.0,0,0
836,1,0,1,0,2,0,0.7715233931365241,0.6061437509014499,48.760000000000005,1.5617999999999999,20.016999999999996,107.063,1.0,0.0,0.29185869837188894,7,0,1,0,0,0.0,0,0
837,2,0,2,1,3,0,0.6675687510770749,0.9313773331902886,57.989999999999995,3.395500000000001,45.975000000000016,217.15000000000006,0.25,0.4,0.43448150949263725,15,1,2,6,0,0.0,0,0
838,2,0,2,0,5,0,0.6421507026644844,0.7469614238529978,57.989999999999995,1.3316000000000001,30.48399999999999,115.13599999999997,1.0,0.0,0.31071324865289535,8,0,2,0,1,0.0,0,0
839,3,0,3,1,5,0,0.5891229650534219,1.1842461420819221,75.06,2.6011000000000006,54.96200000000003,205.2170000000001,0.3,0.4,0.32763482614801287,15,1,3,6,1,0.0,0,0
840,1,0,1,1,1,0,0.6870464586025754,0.7400539614160363,48.760000000000005,1.8492000000000002,26.784999999999993,97.12099999999995,1.0,0.5714285714285714,0.2721623639321255,7,1,1,4,0,1.0,0,0
841,1,0,1,1,2,0,0.6115202958245504,0.8785402145996318,48.760000000000005,2.875400000000001,40.56600000000002,139.2020000000001,1.0,0.6,0.30449605904199556,10,1,1,6,0,1.0,0,0
842,1,0,1,1,1,0,0.6207137340518069,0.7273561736309206,48.760000000000005,3.409600000000002,45.25300000000003,153.22900000000013,1.0,0.7272727272727273,0.31469205810256856,11,1,1,8,0,1.0,0,0
843,3,0,3,1,4,0,0.6191237974427742,1.1422547011127246,75.06,2.2110000000000003,50.34500000000003,191.19000000000005,0.2222222222222222,0.42857142857142855,0.3176295809100498,14,1,3,6,1,0.0,0,0
844,1,0,1,1,3,0,0.5858832761877891,0.8789926507374614,48.760000000000005,3.265500000000002,45.18300000000003,153.22900000000013,1.0,0.5454545454545454,0.3319191527292964,11,1,1,6,1,1.0,0,0
845,1,0,1,2,1,0,0.641898325916164,0.9674653117310803,48.760000000000005,2.4853000000000005,38.38200000000001,137.18600000000006,1.0,0.7,0.30266119421421395,10,1,1,5,3,1.0,0,0
846,3,0,3,1,4,0,0.6342085447685407,0.8365889496623851,66.58000000000001,1.5835,40.85700000000002,151.17300000000006,0.5,0.45454545454545453,0.2785984624031758,11,1,3,5,0,0.0,0,0
847,2,0,2,0,8,0,0.568290559792161,0.7069253637452899,57.989999999999995,2.5035000000000007,44.35700000000002,157.21700000000013,1.0,0.0,0.24223439656485252,11,0,2,0,0,0.0,0,0
848,1,0,1,1,1,0,0.6257919937834039,0.8811710758698768,48.760000000000005,2.6294000000000013,36.019,125.17499999999993,1.0,0.6666666666666666,0.29364946279701437,9,1,1,6,0,1.0,0,0
849,1,0,1,0,9,0,0.5487449258777887,0.8015084714030839,48.760000000000005,4.0473000000000035,52.00600000000004,169.27200000000016,1.0,0.0,0.2276805676129711,12,0,1,0,0,0.0,0,0
850,1,0,1,1,3,0,0.6480415043028095,0.5577125683254542,48.760000000000005,2.805320000000001,44.029000000000025,147.1810000000001,0.25,0.5454545454545454,0.3506239148780315,11,1,1,6,0,0.0,0,0
851,3,0,3,1,4,0,0.6194837910998786,0.9917630566703032,75.06,2.2110000000000003,50.34500000000003,191.19000000000005,0.2222222222222222,0.42857142857142855,0.3176295809100498,14,1,3,6,1,0.0,0,0
852,1,0,1,1,2,0,0.6921635416890602,0.8636832060234861,48.760000000000005,2.636000000000001,39.250000000000014,151.14400000000003,0.14285714285714285,0.5454545454545454,0.3541559375586608,11,1,1,6,0,0.0,0,0
853,1,0,1,1,1,0,0.6874611331256214,0.6522482468757524,48.760000000000005,2.0153,31.30799999999999,109.13199999999995,0.6,0.625,0.2138994694857474,8,1,1,5,0,0.6,0,0
854,3,0,3,1,1,0,0.7031643542496687,0.7129699555921832,82.9,0.6074000000000002,35.860800000000005,159.17000000000004,0.5,0.7,0.31869321701826697,10,1,3,5,1,0.5,0,0
855,3,1,4,1,3,0,0.6765715607385235,0.6738253973059822,86.06,2.1951,46.251300000000015,177.16300000000007,0.125,0.46153846153846156,0.43547225128516853,13,1,3,6,0,0.0,0,0
856,4,0,4,3,8,0,0.5157713405351817,0.8488672604335834,70.46000000000001,4.246400000000004,97.47900000000006,338.41099999999966,0.3684210526315789,0.72,0.4490364063587961,25,2,4,6,0,0.29411764705882354,0,0
857,3,0,3,1,6,0,0.5817590800872755,1.3403137999812145,75.06,3.124500000000001,64.72300000000003,253.68900000000008,0.36363636363636365,0.35294117647058826,0.34985492506405697,17,1,3,6,1,0.0,0,0
858,5,0,5,1,5,0,0.6487202983636676,0.8260656145975332,109.71999999999998,1.41002,47.63140000000002,196.17000000000007,0.5,0.35714285714285715,0.23839382825428845,14,1,5,5,0,0.0,0,0
859,2,1,3,1,4,1,0.6139769524572879,0.8257219462761535,91.85,1.3932999999999998,52.27440000000002,190.20600000000007,0.2222222222222222,0.42857142857142855,0.43338522672336277,14,1,3,6,1,0.0,0,0
860,2,1,3,1,2,0,0.7389528323080681,0.5779342256834116,68.99000000000001,2.4730999999999996,36.87080000000001,153.116,0.0,0.5454545454545454,0.37545006305742945,11,1,2,6,0,0.0,0,0
